epochth	original	50*x	50*x	30*x	10*x
121	0.922	0.8683	0.8964	0.9212	0.9145
122	0.9193	0.8686	0.8996	0.9243	0.9144
123	0.9232	0.8685	0.3863	0.9239	0.9205
124	0.9168	0.8751	0.8556	0.9251	0.9173
125	0.924	0.8729	0.8603	0.9239	0.919
126	0.9255	0.752	0.8578	0.9234	0.9184
127	0.9154	0.8731	0.8698	0.9232	0.9162
128	0.9219	0.8776	0.877	0.9263	0.9181
129	0.919	0.8739	0.876	0.9249	0.9189
130	0.9232	0.8755	0.881	0.9215	0.9194
131	0.9243	0.8047	0.8833	0.9222	0.9183
132	0.9192	0.8759	0.8797	0.9245	0.913
133	0.9185	0.8814	0.8891	0.9209	0.9167
134	0.9196	0.7584	0.8715	0.9206	0.9158
135	0.9223	0.867	0.8813	0.9191	0.9204
136	0.9211	0.8702	0.8933	0.9202	0.9151
137	0.9152	0.8803	0.8851	0.9246	0.914
138	0.9178	0.8694	0.8888	0.9241	0.9146
139	0.9213	0.8672	0.5553	0.9227	0.9151
140	0.9197	0.8815	0.8658	0.9261	0.9196
141	0.9249	0.8816	0.8707	0.9303	0.9218
142	0.9219	0.8874	0.8774	0.9305	0.9176
143	0.9237	0.8785	0.8791	0.9305	0.9218
144	0.9234	0.8859	0.577	0.9328	0.9222
145	0.9265	0.8888	0.8844	0.929	0.923
146	0.9265	0.8722	0.8871	0.9288	0.9218
147	0.9269	0.8838	0.8862	0.928	0.9186
148	0.9275	0.8902	0.8907	0.9283	0.9188
149	0.9278	0.8845	0.8699	0.9256	0.9198
150	0.9291	0.8859	0.8715	0.9308	0.9222
151	0.9287	0.8858	0.8796	0.929	0.9213
152	0.9275	0.8815	0.8698	0.9283	0.919
153	0.9238	0.8807	0.8813	0.929	0.9201
154	0.925	0.8903	0.8833	0.9281	0.9281
155	0.9271	0.8845	0.8861	0.9285	0.9197
156	0.9262	0.885	0.8876	0.9258	0.9194
157	0.9297	0.89	0.8837	0.9308	0.9212
158	0.924	0.8742	0.8822	0.9308	0.9224
159	0.9266	0.8826	0.8911	0.9305	0.9241
160	0.9266	0.8821	0.8916	0.9248	0.922
161	0.9271	0.8873	0.8939	0.9323	0.9251
162	0.9297	0.887	0.8938	0.9326	0.9247
163	0.9268	0.89	0.8958	0.9314	0.9235
164	0.9299	0.8904	0.8921	0.9321	0.9253
165	0.9289	0.8925	0.8945	0.9314	0.9237
166	0.9293	0.8916	0.8959	0.933	0.9239
167	0.9312	0.8864	0.8937	0.9314	0.9256
